[4.93696696613131, 25.8144028994885];{'b3600': 0, 'b0116': 0, 'b2280': 0, 'b3735': 0, 'b1680': 0, 'b1686': 0, 'b3733': 0, 'b3962': 0, 'b3616': 0}
[4.93696696613131, 25.8144028994885];{'b0125': 0, 'b0116': 0, 'b2280': 0, 'b3735': 0, 'b1680': 0, 'b1686': 0, 'b3733': 0, 'b3962': 0, 'b3616': 0}
[4.93696696613131, 25.8144028994885];{'b0125': 0, 'b3600': 0, 'b0116': 0, 'b2280': 0, 'b1680': 0, 'b1686': 0, 'b3733': 0, 'b3962': 0, 'b3616': 0}
[4.93696696613131, 25.8144028994885];{'b0125': 0, 'b3600': 0, 'b0116': 0, 'b2280': 0, 'b3735': 0, 'b1686': 0, 'b3733': 0, 'b3962': 0, 'b3616': 0}
[4.93696696613131, 25.8144028994885];{'b0125': 0, 'b3600': 0, 'b0116': 0, 'b2280': 0, 'b3735': 0, 'b1680': 0, 'b3733': 0, 'b3962': 0, 'b3616': 0}
[4.93696696613131, 25.8144028994885];{'b0125': 0, 'b3600': 0, 'b0116': 0, 'b2280': 0, 'b3735': 0, 'b1680': 0, 'b1686': 0, 'b3962': 0, 'b3616': 0}
[4.93696696613131, 25.8144028994885];{'b0125': 0, 'b3600': 0, 'b0116': 0, 'b2280': 0, 'b3735': 0, 'b1680': 0, 'b1686': 0, 'b3733': 0, 'b3616': 0}
[4.93696696613131, 25.8144028994885];{'b0125': 0, 'b3600': 0, 'b0116': 0, 'b2280': 0, 'b3735': 0, 'b1680': 0, 'b1686': 0, 'b3733': 0, 'b3962': 0}
[4.936966966131414, 8.199602440340405];{'b2721': 0, 'b2280': 0, 'b3733': 0, 'b1680': 0, 'b3456': 0, 'b1341': 0, 'b0655': 0, 'b3962': 0}
[4.936966966131414, 8.199602440340405];{'b3732': 0, 'b2280': 0, 'b3733': 0, 'b1680': 0, 'b3456': 0, 'b1341': 0, 'b0655': 0, 'b3962': 0}
[4.936966966131414, 8.199602440340405];{'b3732': 0, 'b2721': 0, 'b2280': 0, 'b1680': 0, 'b3456': 0, 'b1341': 0, 'b0655': 0, 'b3962': 0}
[4.936966966131414, 8.199602440340405];{'b3732': 0, 'b2721': 0, 'b2280': 0, 'b3733': 0, 'b3456': 0, 'b1341': 0, 'b0655': 0, 'b3962': 0}
[4.936966966131414, 8.199602440340405];{'b3732': 0, 'b2721': 0, 'b2280': 0, 'b3733': 0, 'b1680': 0, 'b1341': 0, 'b0655': 0, 'b3962': 0}
[4.936966966131414, 8.199602440340405];{'b3732': 0, 'b2721': 0, 'b2280': 0, 'b3733': 0, 'b1680': 0, 'b3456': 0, 'b0655': 0, 'b3962': 0}
[4.936966966131414, 8.199602440340405];{'b3732': 0, 'b2721': 0, 'b2280': 0, 'b3733': 0, 'b1680': 0, 'b3456': 0, 'b1341': 0, 'b3962': 0}
[4.936966966131414, 8.199602440340405];{'b3732': 0, 'b2721': 0, 'b2280': 0, 'b3733': 0, 'b1680': 0, 'b3456': 0, 'b1341': 0, 'b0655': 0}
